rating,feedback,clean_reviews,Positive,Negative,Neutral,reviews_length
5,1,love echo,0.808,0.0,0.192,9
5,1,love,1.0,0.0,0.0,4
4,1,sometim play game answer question correct alexa say got wrong answer  like abl turn light away home,0.223,0.141,0.636,99
5,1,lot fun thing  yr old learn dinosaur control light play game like categori nice sound play music well,0.564,0.0,0.436,101
5,1,music,0.0,0.0,1.0,5
5,1,receiv echo gift need anoth bluetooth someth play music easili access found smart speaker can't wait see els,0.348,0.0,0.652,108
3,1,without cellphon cannot use mani featur ipad see use  great alarm  u r almost deaf hear alarm bedroom live room reason enough keep herit fun ask random question hear respons  seem smartbon polit yet,0.176,0.108,0.715,198
5,1,think  one ive purchas im work get one everi room hous realli like featur offer specifili play music echo control light throughout hous,0.189,0.0,0.811,135
5,1,look great,0.804,0.0,0.196,10
5,1,love i'v listen song haven't heard sinc childhood get news weather inform it great,0.409,0.0,0.591,82
5,1,sent  year old dad talk constant,0.0,0.0,1.0,32
5,1,love learn knew thing eveyday still figur everyth work far easi use understand make laugh time,0.358,0.0,0.642,94
5,1,purchas mother knee problem give someth tri come get around fast like didsh enjoy littl big thing doalexa play song time cook,0.281,0.094,0.625,125
5,1,love love love,1.0,0.0,0.0,14
5,1,expect,0.0,0.0,1.0,6
5,1,love wife hate,0.472,0.416,0.112,14
5,1,realli happi purchas  great speaker easi set,0.406,0.0,0.594,44
5,1,use alexa coupl day lot fun new toy like new household member tri learn differ featu benefit come,0.37,0.0,0.63,97
5,1,love size  generat echo still need littl improv sound,0.344,0.0,0.656,53
4,1,like origin echo shorter greater fabriccolor choic miss volum ring top plusminus button big deal ring w comfort  well like use standard usb charger port instead previous round pin guess sound seem work still answer alexaechocomput what like ,0.342,0.033,0.625,241
5,1,love echo good music sound play alexa understand command difficult time find specif playlist song spotifi good amazon music lack major program,0.416,0.142,0.442,142
5,1,love alexa use play music play radio itun play podcast anypod set remind listen flash brief news weather everi morn reli custom list like abl voic control volum sure well continu find new usessometim bit frustrat alexa doesnt understand say,0.357,0.0,0.643,240
4,1,set day still ad smart home devic speaker great play music like size station kitchen counter it intrus look,0.438,0.0,0.562,107
5,1,love play sleep sound immedi ask,0.623,0.0,0.377,32
3,1,got second unit bedroom expect sound improv didnt realli see differ  overal big improv  generat,0.0,0.0,1.0,95
5,1,amaz product,0.0,0.0,1.0,12
5,1,love echo easi oper load funit everyth advertis use main play favorit tune test alexa knowledg,0.32,0.0,0.68,94
5,1,sound great love,0.892,0.0,0.108,16
4,1,fun item play get use use  sometim hard time answer question ask think better,0.43,0.07,0.5,77
5,1,like one,0.714,0.0,0.286,8
5,1,still learn capabilitiesbut far pretti pretti pretti good,0.293,0.0,0.707,57
4,1,like,1.0,0.0,0.0,4
5,1,work well need learn command  uniqu owner user like alexa “learn” tasha birthday  alexa “learn” definit fine etc great,0.412,0.0,0.588,118
3,1,speaker sound pretti good small setup pretti easi  bought two reason rate  follow instruct synch music unit  know ive done correct wont sync  primari motiv purchas multipl unit,0.097,0.0,0.903,176
5,1,devic awesom,0.0,0.0,1.0,12
5,1,bought compar speaker qualiti first generat speaker like sound better  ship daughter though like fact first generat chargeabl base bought keep mobil need better sound,0.34,0.0,0.66,166
5,1,love echo still learn thing wasn't abl follow instruct includ packag found great one utub,0.39,0.0,0.61,89
4,1,speaker better  generat echo,0.492,0.0,0.508,28
5,1,thing way cool  get one  want cool,0.596,0.0,0.404,34
5,1,first digit assist im give good review speaker realli good cheap price prime day fun play use alarm clock that go get first place end echo havent go one definit tri itwhat like best number devic connect purchas came smart plug  connect lamp alexa turn light,0.36,0.039,0.601,257
5,1,husband like abl use listen music  wish knew capabl,0.426,0.0,0.574,51
5,1,android would allow alexa connect fortun sister appl cell hour tech support fix glitch run,0.261,0.0,0.739,90
4,1,far good,0.744,0.0,0.256,8
5,1,tri play certain broadway show like camelot give ne group camelot,0.467,0.0,0.533,65
5,1,great,1.0,0.0,0.0,5
5,1,satisfi echo alexa control light famili room wife listen jimmi buffet ask alexa,0.0,0.0,1.0,79
2,0,like siri fact siri answer accur alexa  dont see real need household though good bargain prime day deal,0.324,0.0,0.676,103
5,1,love echo still learn everi thing work ton fun,0.517,0.0,0.483,46
5,1,love much,0.808,0.0,0.192,9
3,1,differ appl play specif list music must amazon spotifi “plusprimeetc” account  must pay play “your” music   star reason  everyth els 👍🏻 ,0.225,0.048,0.727,136
5,1,excelent lo unico es que esta en español,0.0,0.0,1.0,40
5,1,im still learn use far echo great sound actual much better expect,0.412,0.0,0.588,65
5,1,work you'd expect also good sound qualiti consid price  sale featur,0.225,0.0,0.775,67
5,1,sound echo  generat phenomen  mention love alexa  help,0.535,0.0,0.465,54
3,1,like googl better,0.844,0.0,0.156,17
5,1,let play learn get,0.444,0.0,0.556,18
5,1,work advertis easi setup still learn,0.0,0.0,1.0,36
4,1,great sound easi set,0.577,0.0,0.423,20
5,1,love alexa bought other friend,0.712,0.0,0.288,30
